CMO,School Name,Year Open,City,State,Zip,Low Grade,High Grade,,,,,,,,,
21st Century Charter Schools/Geo Academies,Fall Creek Academy,2002,Indianapolis,IN,46208,KG,12,,,,,,,,,
21st Century Charter Schools/Geo Academies,21St Century Charter Sch Of Gary,2005,Gary,IN,46402,KG,12,,,,,,,,,
21st Century Charter Schools/Geo Academies,21St Century Charter School,2005,Colorado Springs,CO,80903,01,11,,,,,,,,,
21st Century Charter Schools/Geo Academies,21St Century Fountain Square,2005,Indianapolis,IN,46203,05,12,,,,,,,,,
Academy of Tuscon,Academy Of Tucson High School,1999,Tucson,AZ,85748,09,12,,,,,,,,,
Academy of Tuscon,Academy Of Tucson Middle School,1999,Tucson,AZ,85749,06,08,,,,,,,,,
Academy of Tuscon,Academy Of Tucson Elementary School,2000,Tucson,AZ,85715,KG,05,,,,,,,,,
Achievement First,Amistad Academy Middle,1999,New Haven,CT,06513,05,08,,,,,,,,,
Achievement First,Elm City Elementary,2004,New Haven,CT,06511,KG,04,,,,,,,,,
Achievement First,Elm City Middle,2004,New Haven,CT,06511,05,08,,,,,,,,,
Achievement First,Achievement First Crown Heights Charter School,2005,Brooklyn,NY,11203,,,,,,,,,,,
Achievement First,Achievement First East New York Charter School,2005,Brooklyn,NY,11233,,,,,,,,,,,
Achievement First,Achievement First North Crown Heights Charter School,2005,Brooklyn,NY,11203,KG,01,,,,,,,,,
Achievement First,Achievement First Bushwick,2006,Brooklyn,NY,11233,,,,,,,,,,,
Achievement First,Achievement First Endeavor Charter School,2006,Brooklyn,NY,11205,,,,,,,,,,,
Achievement First,Amistad Academy Elementary,2006,New Haven,CT,06519,KG,02,,,,,,,,,
Achievement First,Amistad High School,2006,New Haven,CT,06519,09,11,,,,,,,,,
Achievement First,Elm City High,2006,New Haven,CT,06519,09,09,,,,,,,,,
Achievement First,Achievement First Bridgeport Academy,2007,Bridgeport,CT,06608,05,06,,,,,,,,,
Achievement First,Achievement First Brownsville Charter School,2008,Brooklyn,NY,11233,05,05,,,,,,,,,
Achievement First,Achievement First Hartford Academy,2008,Hartford,CT,06112,KG,05,,,,,,,,,
Albert Einstein Academies,Einstein Academy,2002,San Diego,CA,92102,KG,05,,,,,,,,,
Albert Einstein Academies,Albert Einstein Academy Middle,2006,San Diego,CA,92102,06,08,,,,,,,,,
Algiers Charter School Association (ACSA),Alice Harte Elementary Charter School,2005,New Orleans,LA,70131,KG,08,,,,,,,,,
Algiers Charter School Association (ACSA),Dwight D. Eisenhower Elementary School,2005,New Orleans,LA,70131,PK,08,,,,,,,,,
Algiers Charter School Association (ACSA),Edna Karr Secondary School,2005,New Oreleans,LA,70131,09,12,,,,,,,,,
Algiers Charter School Association (ACSA),Martin Behrman Elementary School,2005,New Orleans,LA,70114,PK,08,,,,,,,,,
Algiers Charter School Association (ACSA),O.P. Walker Senior High School,2005,New Orleans,LA,70114,09,12,,,,,,,,,
